Tabela,Hash,TamanhoTabela,NumRegistros,TempoInsercao(ms),Colisoes,GapMin,GapMax,GapMedio,TempoBusca(ms),Encontrados,MaiorLista
Encadeamento,Multiplicativo,150000,100000,11,43408,1,14,2,8,100000,6
Rehashing,Quadratico,150000,100000,9,71904,1,12,1,8,100000,0
Rehashing,DoubleHashingCustom,150000,100000,9,64870,1,11,1,8,100000,0
Encadeamento,Multiplicativo,1500000,1000000,119,437871,1,20,2,163,1000000,8
Rehashing,Quadratico,1500000,1000000,75,729627,1,14,1,74,1000000,0
Rehashing,DoubleHashingCustom,1500000,1000000,73,2148477,1,13,1,93,999999,0
Encadeamento,Multiplicativo,15000000,10000000,1646,4552897,1,25,2,1685,10000000,10
Rehashing,Quadratico,15000000,10000000,974,7652751,1,19,1,1472,10000000,0
Rehashing,DoubleHashingCustom,15000000,10000000,1154,6700406,1,14,1,1550,10000000,0
Encadeamento,Multiplicativo,150000,100000,7,43829,1,19,2,6,100000,7
Rehashing,Quadratico,150000,100000,7,72541,1,15,1,7,100000,0
Rehashing,DoubleHashingCustom,150000,100000,7,65212,1,11,1,6,100000,0
Encadeamento,Multiplicativo,1500000,1000000,84,436956,1,20,2,105,1000000,8
Rehashing,Quadratico,1500000,1000000,79,724935,1,15,1,77,1000000,0
Rehashing,DoubleHashingCustom,1500000,1000000,86,2146574,1,11,1,81,999999,0
Encadeamento,Multiplicativo,15000000,10000000,1536,4553050,1,25,2,1732,10000000,9
Rehashing,Quadratico,15000000,10000000,1083,7640939,1,20,1,1356,10000000,0
Rehashing,DoubleHashingCustom,15000000,10000000,1145,6700108,1,17,1,1457,10000000,0
Encadeamento,Multiplicativo,150000,100000,6,43825,1,16,2,8,100000,7
Rehashing,Quadratico,150000,100000,7,73224,1,13,1,7,100000,0
Rehashing,DoubleHashingCustom,150000,100000,7,65001,1,9,1,7,100000,0
Encadeamento,Multiplicativo,1500000,1000000,106,437627,1,18,2,107,1000000,8
Rehashing,Quadratico,1500000,1000000,73,726989,1,17,1,81,1000000,0
Rehashing,DoubleHashingCustom,1500000,1000000,76,648101,1,13,1,82,1000000,0
Encadeamento,Multiplicativo,15000000,10000000,1554,4548760,1,22,2,1637,10000000,9
Rehashing,Quadratico,15000000,10000000,1071,7646552,1,21,1,1256,10000000,0
Rehashing,DoubleHashingCustom,15000000,10000000,1148,6697925,1,14,1,1335,10000000,0
